row.names,survived,age,embarked_1,embarked_2,embarked_3,sex_0,sex_1,pclass_1,pclass_2,pclass_3
48,1,36.0,1,0,0,0,1,1,0,0
49,1,36.0,1,0,0,1,0,1,0,0
50,1,14.0,1,0,0,1,0,1,0,0
51,1,11.0,1,0,0,0,1,1,0,0
52,0,49.0,1,0,0,0,1,1,0,0
53,1,38.64752691881111,0,1,0,1,0,1,0,0
54,0,36.0,1,0,0,0,1,1,0,0
55,1,36.17871571533521,1,0,0,1,0,1,0,0
56,0,46.0,1,0,0,0,1,1,0,0
57,1,47.0,1,0,0,1,0,1,0,0
58,1,27.0,1,0,0,0,1,1,0,0
59,1,31.0,1,0,0,1,0,1,0,0
60,1,36.17871571533521,1,0,0,1,0,1,0,0
61,1,40.9807227574938,0,1,0,0,1,1,0,0
62,1,36.17871571533521,1,0,0,1,0,1,0,0
64,0,27.0,0,1,0,0,1,1,0,0
65,1,26.0,0,1,0,1,0,1,0,0
66,0,41.51241901780585,1,0,0,0,1,1,0,0
67,0,41.51241901780585,1,0,0,0,1,1,0,0
68,1,64.0,0,1,0,1,0,1,0,0
69,0,37.0,0,1,0,0,1,1,0,0
70,1,39.0,0,1,0,1,0,1,0,0
71,1,55.0,1,0,0,1,0,1,0,0
72,0,41.51241901780585,1,0,0,0,1,1,0,0
73,0,70.0,1,0,0,0,1,1,0,0
74,1,69.0,1,0,0,1,0,1,0,0
75,1,36.0,1,0,0,1,0,1,0,0
76,0,39.0,0,1,0,0,1,1,0,0
77,1,38.0,0,1,0,1,0,1,0,0
78,1,41.51241901780585,1,0,0,0,1,1,0,0
79,1,27.0,1,0,0,0,1,1,0,0
80,0,31.0,1,0,0,0,1,1,0,0
81,1,27.0,1,0,0,1,0,1,0,0
82,1,38.64752691881111,0,1,0,1,0,1,0,0
83,1,31.0,0,1,0,0,1,1,0,0
84,1,17.0,0,1,0,1,0,1,0,0
85,1,41.51241901780585,1,0,0,0,1,1,0,0
86,1,36.17871571533521,1,0,0,1,0,1,0,0
87,1,4.0,1,0,0,0,1,1,0,0
88,1,27.0,0,1,0,1,0,1,0,0
89,0,50.0,0,1,0,0,1,1,0,0
90,1,48.0,0,1,0,1,0,1,0,0
91,1,49.0,0,1,0,0,1,1,0,0
92,1,48.0,0,1,0,1,0,1,0,0
93,0,39.0,0,1,0,0,1,1,0,0
94,1,23.0,0,1,0,1,0,1,0,0
95,1,53.0,0,1,0,1,0,1,0,0
96,0,36.0,0,1,0,1,0,1,0,0
97,1,38.64752691881111,0,1,0,1,0,1,0,0
98,1,41.51241901780585,1,0,0,0,1,1,0,0
99,0,30.0,0,1,0,0,1,1,0,0
100,1,24.0,1,0,0,1,0,1,0,0
101,0,19.0,1,0,0,0,1,1,0,0
102,1,28.0,1,0,0,1,0,1,0,0
103,1,23.0,1,0,0,1,0,1,0,0
104,0,64.0,1,0,0,0,1,1,0,0
105,1,60.0,1,0,0,1,0,1,0,0
106,0,41.51241901780585,1,0,0,0,1,1,0,0
107,1,49.0,0,1,0,0,1,1,0,0
108,1,38.64752691881111,0,1,0,1,0,1,0,0
109,1,44.0,1,0,0,0,1,1,0,0
110,1,22.0,0,1,0,1,0,1,0,0
111,1,60.0,0,1,0,0,1,1,0,0
112,1,48.0,0,1,0,1,0,1,0,0
113,0,37.0,1,0,0,0,1,1,0,0
114,1,35.0,1,0,0,1,0,1,0,0
115,0,47.0,1,0,0,0,1,1,0,0
116,1,22.0,0,1,0,1,0,1,0,0
117,1,45.0,0,1,0,1,0,1,0,0
118,1,49.0,0,1,0,0,1,1,0,0
119,1,38.64752691881111,0,1,0,1,0,1,0,0
120,0,71.0,0,1,0,0,1,1,0,0
121,1,54.0,1,0,0,0,1,1,0,0
122,0,38.0,1,0,0,0,1,1,0,0
123,1,19.0,1,0,0,1,0,1,0,0
124,1,58.0,1,0,0,1,0,1,0,0
125,1,45.0,0,1,0,1,0,1,0,0
126,1,23.0,0,1,0,0,1,1,0,0
127,0,46.0,0,1,0,0,1,1,0,0
128,1,25.0,0,1,0,0,1,1,0,0
129,1,21.0,0,1,0,1,0,1,0,0
130,1,48.0,0,1,0,0,1,1,0,0
131,1,49.0,0,1,0,1,0,1,0,0
132,0,45.0,1,0,0,0,1,1,0,0
133,1,36.0,1,0,0,1,0,1,0,0
134,1,41.51241901780585,1,0,0,0,1,1,0,0
135,0,55.0,1,0,0,0,1,1,0,0
136,1,52.0,1,0,0,1,0,1,0,0
137,1,24.0,1,0,0,1,0,1,0,0
138,0,41.51241901780585,1,0,0,0,1,1,0,0
139,0,41.51241901780585,1,0,0,0,1,1,0,0
140,0,41.51241901780585,1,0,0,0,1,1,0,0
141,1,16.0,0,1,0,1,0,1,0,0
142,1,44.0,0,1,0,1,0,1,0,0
143,1,51.0,1,0,0,1,0,1,0,0
144,0,42.0,1,0,0,0,1,1,0,0
145,1,35.0,1,0,0,1,0,1,0,0
146,1,35.0,0,1,0,0,1,1,0,0
147,1,38.0,1,0,0,0,1,1,0,0
148,1,35.0,1,0,0,1,0,1,0,0
149,0,40.9807227574938,0,1,0,0,1,1,0,0
150,0,50.0,0,1,0,1,0,1,0,0
151,1,49.0,1,0,0,0,1,1,0,0
152,0,46.0,1,0,0,0,1,1,0,0
153,0,41.51241901780585,1,0,0,0,1,1,0,0
154,0,58.0,0,1,0,0,1,1,0,0
155,0,41.0,1,0,0,0,1,1,0,0
156,1,36.17871571533521,1,0,0,1,0,1,0,0
157,1,42.0,1,0,0,0,1,1,0,0
158,1,40.0,1,0,0,1,0,1,0,0
159,0,41.51241901780585,1,0,0,0,1,1,0,0
160,1,36.17871571533521,1,0,0,1,0,1,0,0
161,0,40.9807227574938,0,1,0,0,1,1,0,0
162,0,42.0,1,0,0,0,1,1,0,0
163,1,55.0,0,1,0,1,0,1,0,0
164,1,50.0,0,1,0,1,0,1,0,0
165,1,16.0,0,1,0,1,0,1,0,0
167,0,29.0,1,0,0,0,1,1,0,0
168,1,21.0,1,0,0,1,0,1,0,0
169,0,30.0,1,0,0,0,1,1,0,0
170,1,15.0,1,0,0,1,0,1,0,0
171,0,30.0,1,0,0,0,1,1,0,0
172,1,40.9807227574938,0,1,0,0,1,1,0,0
173,0,41.51241901780585,1,0,0,0,1,1,0,0
174,1,36.17871571533521,1,0,0,1,0,1,0,0
175,0,46.0,0,1,0,0,1,1,0,0
176,0,54.0,1,0,0,0,1,1,0,0
177,1,36.0,1,0,0,0,1,1,0,0
178,0,28.0,0,1,0,0,1,1,0,0
179,1,38.64752691881111,0,1,0,1,0,1,0,0
180,0,65.0,1,0,0,0,1,1,0,0
181,1,33.0,0,0,1,1,0,1,0,0
182,0,44.0,0,0,1,0,1,1,0,0
183,1,37.0,0,0,1,1,0,1,0,0
184,1,40.9807227574938,0,1,0,0,1,1,0,0
185,0,55.0,1,0,0,0,1,1,0,0
186,0,47.0,1,0,0,0,1,1,0,0
187,0,36.0,0,1,0,0,1,1,0,0
188,0,58.0,0,1,0,0,1,1,0,0
189,1,31.0,0,1,0,1,0,1,0,0
190,1,23.0,0,1,0,1,0,1,0,0
191,1,19.0,1,0,0,1,0,1,0,0
192,0,64.0,1,0,0,0,1,1,0,0
193,1,40.9807227574938,0,1,0,0,1,1,0,0
194,0,64.0,0,1,0,0,1,1,0,0
195,1,22.0,0,1,0,1,0,1,0,0
198,0,41.51241901780585,1,0,0,0,1,1,0,0
199,0,22.0,1,0,0,0,1,1,0,0
200,0,41.51241901780585,1,0,0,0,1,1,0,0
201,1,36.17871571533521,1,0,0,1,0,1,0,0
202,0,18.0,0,1,0,0,1,1,0,0
203,1,17.0,0,1,0,1,0,1,0,0
204,1,52.0,1,0,0,0,1,1,0,0
205,0,46.0,1,0,0,0,1,1,0,0
206,1,56.0,0,1,0,1,0,1,0,0
207,0,41.51241901780585,1,0,0,0,1,1,0,0
208,1,40.9807227574938,0,1,0,0,1,1,0,0
209,1,43.0,1,0,0,1,0,1,0,0
210,0,31.0,1,0,0,0,1,1,0,0
211,1,41.51241901780585,1,0,0,0,1,1,0,0
212,0,41.51241901780585,1,0,0,0,1,1,0,0
213,1,33.0,0,1,0,1,0,1,0,0
214,0,40.9807227574938,0,1,0,0,1,1,0,0
215,1,27.0,1,0,0,1,0,1,0,0
216,0,55.0,0,1,0,0,1,1,0,0
217,1,54.0,0,1,0,1,0,1,0,0
218,0,41.51241901780585,1,0,0,0,1,1,0,0
219,0,61.0,0,1,0,0,1,1,0,0
220,1,48.0,0,1,0,1,0,1,0,0
221,1,18.0,0,1,0,1,0,1,0,0
222,1,13.0,0,1,0,0,1,1,0,0
223,1,21.0,0,1,0,1,0,1,0,0
224,1,41.51241901780585,1,0,0,0,1,1,0,0
225,1,41.51241901780585,1,0,0,0,1,1,0,0
226,1,38.64752691881111,0,1,0,1,0,1,0,0
227,1,34.0,1,0,0,0,1,1,0,0
228,1,40.0,1,0,0,1,0,1,0,0
229,1,36.0,1,0,0,0,1,1,0,0
233,1,28.0,1,0,0,0,1,1,0,0
234,0,56.0,1,0,0,0,1,1,0,0
235,0,56.0,0,1,0,0,1,1,0,0
236,0,24.0,1,0,0,0,1,1,0,0
237,1,18.0,1,0,0,1,0,1,0,0
238,0,41.51241901780585,1,0,0,0,1,1,0,0
239,1,24.0,1,0,0,0,1,1,0,0
240,1,23.0,1,0,0,1,0,1,0,0
241,1,45.0,0,1,0,0,1,1,0,0
242,1,40.0,0,1,0,1,0,1,0,0
243,1,6.0,0,1,0,0,1,1,0,0
244,0,57.0,0,1,0,0,1,1,0,0
245,1,38.64752691881111,0,1,0,1,0,1,0,0
246,1,32.0,0,1,0,0,1,1,0,0
247,0,62.0,1,0,0,0,1,1,0,0
248,1,54.0,0,1,0,0,1,1,0,0
249,1,43.0,0,1,0,1,0,1,0,0
251,0,40.9807227574938,0,1,0,0,1,1,0,0
253,0,67.0,1,0,0,0,1,1,0,0
254,0,63.0,1,0,0,1,0,1,0,0
255,0,61.0,1,0,0,0,1,1,0,0
256,1,46.0,1,0,0,1,0,1,0,0
257,0,52.0,1,0,0,0,1,1,0,0
258,1,39.0,1,0,0,1,0,1,0,0
259,1,18.0,1,0,0,1,0,1,0,0
260,1,48.0,1,0,0,0,1,1,0,0
261,1,36.17871571533521,1,0,0,1,0,1,0,0
262,0,49.0,0,1,0,0,1,1,0,0
263,1,39.0,0,1,0,1,0,1,0,0
264,1,17.0,0,1,0,0,1,1,0,0
265,0,46.0,0,1,0,0,1,1,0,0
266,1,38.64752691881111,0,1,0,1,0,1,0,0
267,1,31.0,0,1,0,0,1,1,0,0
268,0,40.9807227574938,0,1,0,0,1,1,0,0
269,0,61.0,1,0,0,0,1,1,0,0
270,0,47.0,1,0,0,0,1,1,0,0
271,0,64.0,0,1,0,0,1,1,0,0
272,1,60.0,0,1,0,1,0,1,0,0
273,0,60.0,1,0,0,0,1,1,0,0
274,1,55.0,0,1,0,1,0,1,0,0
275,0,54.0,1,0,0,0,1,1,0,0
276,0,21.0,1,0,0,0,1,1,0,0
277,0,57.0,1,0,0,0,1,1,0,0
278,1,45.0,1,0,0,1,0,1,0,0
279,1,31.0,1,0,0,1,0,1,0,0
280,0,50.0,0,1,0,0,1,1,0,0
281,1,50.0,0,1,0,1,0,1,0,0
282,0,27.0,0,1,0,0,1,1,0,0
283,1,20.0,1,0,0,1,0,1,0,0
284,0,51.0,0,1,0,0,1,1,0,0
285,0,41.51241901780585,1,0,0,0,1,1,0,0
286,1,21.0,0,1,0,0,1,1,0,0
287,1,41.51241901780585,1,0,0,0,1,1,0,0
288,0,41.51241901780585,1,0,0,0,1,1,0,0
289,1,36.0,0,1,0,1,0,1,0,0
299,1,38.64752691881111,0,1,0,1,0,1,0,0
323,0,30.0,0,1,0,0,1,0,1,0
324,1,28.0,0,1,0,1,0,0,1,0
325,0,18.0,1,0,0,0,1,0,1,0
326,0,29.152074860897248,1,0,0,0,1,0,1,0
327,0,34.0,1,0,0,0,1,0,1,0
328,1,32.0,1,0,0,1,0,0,1,0
329,0,57.0,1,0,0,0,1,0,1,0
330,0,18.0,1,0,0,0,1,0,1,0
331,0,23.0,1,0,0,0,1,0,1,0
332,1,36.0,1,0,0,1,0,0,1,0
333,0,28.0,1,0,0,0,1,0,1,0
334,0,51.0,1,0,0,0,1,0,1,0
335,1,32.0,1,0,0,0,1,0,1,0
336,1,19.0,1,0,0,1,0,0,1,0
337,0,28.0,1,0,0,0,1,0,1,0
338,1,36.0,1,0,0,1,0,0,1,0
339,1,4.0,1,0,0,1,0,0,1,0
340,1,1.0,1,0,0,0,1,0,1,0
341,1,12.0,1,0,0,1,0,0,1,0
342,1,34.0,1,0,0,0,1,0,1,0
343,1,19.0,1,0,0,1,0,0,1,0
344,0,23.0,1,0,0,0,1,0,1,0
345,0,26.0,1,0,0,0,1,0,1,0
346,0,29.152074860897248,1,0,0,0,1,0,1,0
347,0,27.0,1,0,0,0,1,0,1,0
348,1,15.0,1,0,0,1,0,0,1,0
349,0,45.0,1,0,0,0,1,0,1,0
350,1,40.0,1,0,0,1,0,0,1,0
351,1,20.0,1,0,0,1,0,0,1,0
352,0,25.0,1,0,0,0,1,0,1,0
353,1,36.0,1,0,0,1,0,0,1,0
354,0,25.0,1,0,0,0,1,0,1,0
355,0,29.152074860897248,1,0,0,0,1,0,1,0
356,1,42.0,1,0,0,1,0,0,1,0
357,1,26.0,1,0,0,0,1,0,1,0
358,1,26.0,1,0,0,1,0,0,1,0
359,1,0.8333,1,0,0,0,1,0,1,0
360,1,31.0,1,0,0,1,0,0,1,0
362,0,19.0,1,0,0,0,1,0,1,0
363,0,54.0,1,0,0,0,1,0,1,0
364,0,44.0,1,0,0,1,0,0,1,0
365,0,52.0,1,0,0,0,1,0,1,0
366,0,30.0,1,0,0,0,1,0,1,0
367,0,30.0,1,0,0,1,0,0,1,0
368,1,28.335771985478267,1,0,0,1,0,0,1,0
369,1,28.335771985478267,1,0,0,1,0,0,1,0
370,0,29.0,1,0,0,0,1,0,1,0
371,1,28.335771985478267,1,0,0,1,0,0,1,0
372,0,29.0,1,0,0,0,1,0,1,0
373,0,27.0,1,0,0,0,1,0,1,0
374,1,24.0,1,0,0,0,1,0,1,0
375,0,35.0,1,0,0,0,1,0,1,0
376,1,31.0,1,0,0,1,0,0,1,0
377,1,8.0,1,0,0,1,0,0,1,0
378,0,22.0,1,0,0,1,0,0,1,0
379,0,30.0,1,0,0,1,0,0,1,0
380,0,28.335771985478267,1,0,0,1,0,0,1,0
381,0,20.0,1,0,0,0,1,0,1,0
383,0,21.0,1,0,0,0,1,0,1,0
384,1,49.0,1,0,0,1,0,0,1,0
385,1,8.0,1,0,0,0,1,0,1,0
386,1,28.0,1,0,0,1,0,0,1,0
389,0,28.0,0,1,0,0,1,0,1,0
390,1,22.0,0,1,0,1,0,0,1,0
391,0,25.0,1,0,0,0,1,0,1,0
392,0,18.0,1,0,0,0,1,0,1,0
393,1,32.0,1,0,0,1,0,0,1,0
394,1,18.0,1,0,0,1,0,0,1,0
395,0,29.152074860897248,1,0,0,0,1,0,1,0
396,0,42.0,1,0,0,0,1,0,1,0
397,1,34.0,1,0,0,1,0,0,1,0
398,1,8.0,1,0,0,0,1,0,1,0
399,1,16.640970461558624,0,1,0,1,0,0,1,0
400,1,16.640970461558624,0,1,0,1,0,0,1,0
401,0,23.0,1,0,0,0,1,0,1,0
402,0,21.0,1,0,0,0,1,0,1,0
403,0,19.0,1,0,0,0,1,0,1,0
404,0,29.152074860897248,1,0,0,0,1,0,1,0
406,0,29.152074860897248,1,0,0,0,1,0,1,0
407,0,38.0,1,0,0,0,1,0,1,0
409,0,38.0,1,0,0,1,0,0,1,0
410,0,35.0,1,0,0,0,1,0,1,0
411,0,35.0,1,0,0,0,1,0,1,0
412,0,38.0,1,0,0,0,1,0,1,0
413,1,24.0,1,0,0,1,0,0,1,0
414,0,16.0,1,0,0,0,1,0,1,0
415,0,26.0,1,0,0,0,1,0,1,0
416,0,45.0,1,0,0,0,1,0,1,0
417,0,24.0,1,0,0,0,1,0,1,0
418,0,21.0,1,0,0,0,1,0,1,0
419,0,22.0,1,0,0,0,1,0,1,0
420,0,29.152074860897248,1,0,0,0,1,0,1,0
421,0,34.0,1,0,0,0,1,0,1,0
423,0,50.0,1,0,0,0,1,0,1,0
424,0,30.0,1,0,0,0,1,0,1,0
425,1,23.0,1,0,0,1,0,0,1,0
426,1,1.0,1,0,0,0,1,0,1,0
427,0,44.0,1,0,0,0,1,0,1,0
428,0,28.0,1,0,0,0,1,0,1,0
429,1,6.0,1,0,0,1,0,0,1,0
430,1,30.0,1,0,0,0,1,0,1,0
431,0,29.152074860897248,1,0,0,0,1,0,1,0
432,0,43.0,1,0,0,0,1,0,1,0
433,1,45.0,1,0,0,1,0,0,1,0
434,1,7.0,1,0,0,1,0,0,1,0
435,1,24.0,1,0,0,1,0,0,1,0
436,1,24.0,1,0,0,1,0,0,1,0
437,0,49.0,1,0,0,0,1,0,1,0
438,1,48.0,1,0,0,1,0,0,1,0
439,1,28.335771985478267,1,0,0,1,0,0,1,0
440,0,34.0,1,0,0,0,1,0,1,0
441,0,32.0,1,0,0,0,1,0,1,0
442,0,21.0,1,0,0,0,1,0,1,0
443,0,18.0,1,0,0,1,0,0,1,0
444,1,53.0,1,0,0,1,0,0,1,0
445,0,23.0,1,0,0,0,1,0,1,0
446,1,21.0,1,0,0,1,0,0,1,0
447,0,29.152074860897248,1,0,0,0,1,0,1,0
448,0,52.0,1,0,0,0,1,0,1,0
449,0,42.0,1,0,0,0,1,0,1,0
450,1,36.0,1,0,0,1,0,0,1,0
451,0,21.0,1,0,0,0,1,0,1,0
452,1,41.0,1,0,0,0,1,0,1,0
453,0,29.152074860897248,1,0,0,0,1,0,1,0
454,0,28.335771985478267,1,0,0,1,0,0,1,0
455,0,33.0,1,0,0,0,1,0,1,0
456,1,17.0,1,0,0,1,0,0,1,0
457,0,29.152074860897248,1,0,0,0,1,0,1,0
458,1,28.335771985478267,1,0,0,1,0,0,1,0
459,0,29.152074860897248,1,0,0,0,1,0,1,0
460,0,29.152074860897248,1,0,0,0,1,0,1,0
461,0,29.152074860897248,1,0,0,0,1,0,1,0
462,0,29.152074860897248,1,0,0,0,1,0,1,0
463,1,23.0,0,1,0,1,0,0,1,0
464,0,34.0,1,0,0,0,1,0,1,0
465,1,28.335771985478267,1,0,0,1,0,0,1,0
466,0,22.0,1,0,0,1,0,0,1,0
468,1,34.57359996628543,0,0,1,1,0,0,1,0
469,1,45.0,1,0,0,1,0,0,1,0
470,0,49.80466383820433,0,0,1,0,1,0,1,0
472,0,31.0,1,0,0,0,1,0,1,0
473,0,30.0,1,0,0,0,1,0,1,0
474,0,26.0,1,0,0,1,0,0,1,0
476,1,34.0,1,0,0,1,0,0,1,0
477,0,26.0,0,1,0,0,1,0,1,0
478,1,22.0,0,1,0,1,0,0,1,0
479,1,1.0,0,1,0,1,0,0,1,0
480,1,3.0,0,1,0,1,0,0,1,0
481,1,16.640970461558624,0,1,0,1,0,0,1,0
482,1,28.335771985478267,1,0,0,1,0,0,1,0
483,0,25.153998264784452,0,1,0,0,1,0,1,0
486,0,48.0,1,0,0,0,1,0,1,0
487,1,28.335771985478267,1,0,0,1,0,0,1,0
488,0,57.0,1,0,0,1,0,0,1,0
489,0,25.153998264784452,0,1,0,0,1,0,1,0
490,0,25.153998264784452,0,1,0,0,1,0,1,0
491,1,16.640970461558624,0,1,0,1,0,0,1,0
492,1,2.0,0,1,0,0,1,0,1,0
493,0,25.153998264784452,0,1,0,0,1,0,1,0
494,0,27.0,1,0,0,0,1,0,1,0
495,1,19.0,1,0,0,1,0,0,1,0
496,0,30.0,1,0,0,0,1,0,1,0
497,0,20.0,1,0,0,0,1,0,1,0
498,0,45.0,1,0,0,0,1,0,1,0
499,0,29.152074860897248,1,0,0,0,1,0,1,0
500,0,46.0,1,0,0,0,1,0,1,0
501,1,41.0,1,0,0,1,0,0,1,0
502,1,13.0,1,0,0,1,0,0,1,0
503,1,19.0,1,0,0,0,1,0,1,0
504,0,30.0,1,0,0,0,1,0,1,0
505,0,48.0,1,0,0,0,1,0,1,0
506,0,71.0,1,0,0,0,1,0,1,0
507,0,54.0,1,0,0,0,1,0,1,0
508,0,29.152074860897248,1,0,0,0,1,0,1,0
509,0,29.152074860897248,1,0,0,0,1,0,1,0
510,0,64.0,0,0,1,0,1,0,1,0
511,0,32.0,0,1,0,0,1,0,1,0
512,1,18.0,0,1,0,1,0,0,1,0
513,1,2.0,1,0,0,0,1,0,1,0
514,0,32.0,1,0,0,0,1,0,1,0
515,1,3.0,1,0,0,0,1,0,1,0
516,0,26.0,1,0,0,0,1,0,1,0
517,0,19.0,1,0,0,0,1,0,1,0
518,0,29.152074860897248,1,0,0,0,1,0,1,0
519,1,20.0,0,1,0,0,1,0,1,0
520,1,29.0,1,0,0,1,0,0,1,0
521,0,39.0,1,0,0,0,1,0,1,0
522,1,22.0,1,0,0,0,1,0,1,0
523,1,25.153998264784452,0,1,0,0,1,0,1,0
524,0,24.0,1,0,0,0,1,0,1,0
525,1,25.153998264784452,0,1,0,0,1,0,1,0
526,0,28.0,1,0,0,0,1,0,1,0
528,1,50.0,1,0,0,1,0,0,1,0
529,0,20.0,1,0,0,0,1,0,1,0
531,1,42.0,1,0,0,1,0,0,1,0
532,0,21.0,1,0,0,0,1,0,1,0
533,1,32.0,1,0,0,1,0,0,1,0
534,0,34.0,1,0,0,0,1,0,1,0
535,1,25.153998264784452,0,1,0,0,1,0,1,0
536,0,25.153998264784452,0,1,0,0,1,0,1,0
537,1,33.0,1,0,0,1,0,0,1,0
538,1,2.0,1,0,0,1,0,0,1,0
539,1,8.0,1,0,0,1,0,0,1,0
540,0,36.0,1,0,0,0,1,0,1,0
541,0,34.0,1,0,0,0,1,0,1,0
542,1,30.0,1,0,0,1,0,0,1,0
543,1,28.0,1,0,0,1,0,0,1,0
544,0,23.0,0,1,0,0,1,0,1,0
545,1,0.8333,1,0,0,0,1,0,1,0
546,1,25.0,1,0,0,1,0,0,1,0
547,1,3.0,1,0,0,0,1,0,1,0
548,1,50.0,1,0,0,1,0,0,1,0
550,1,21.0,1,0,0,1,0,0,1,0
551,0,29.152074860897248,1,0,0,0,1,0,1,0
552,0,29.152074860897248,1,0,0,0,1,0,1,0
553,1,25.0,1,0,0,1,0,0,1,0
554,1,18.0,1,0,0,1,0,0,1,0
555,1,20.0,1,0,0,1,0,0,1,0
556,1,30.0,1,0,0,1,0,0,1,0
557,0,59.0,1,0,0,0,1,0,1,0
558,1,30.0,0,0,1,1,0,0,1,0
559,0,35.0,1,0,0,0,1,0,1,0
560,0,22.0,1,0,0,0,1,0,1,0
562,0,25.0,1,0,0,0,1,0,1,0
563,0,41.0,0,1,0,0,1,0,1,0
564,0,25.0,1,0,0,0,1,0,1,0
565,0,14.0,1,0,0,0,1,0,1,0
566,1,50.0,1,0,0,1,0,0,1,0
568,1,28.335771985478267,1,0,0,1,0,0,1,0
569,1,27.0,1,0,0,1,0,0,1,0
570,0,29.0,1,0,0,0,1,0,1,0
571,0,27.0,1,0,0,1,0,0,1,0
572,0,30.0,1,0,0,0,1,0,1,0
573,0,22.0,1,0,0,0,1,0,1,0
574,1,35.0,1,0,0,1,0,0,1,0
575,0,30.0,1,0,0,0,1,0,1,0
576,1,28.0,1,0,0,1,0,0,1,0
578,0,29.152074860897248,1,0,0,0,1,0,1,0
579,1,12.0,1,0,0,1,0,0,1,0
580,1,40.0,1,0,0,1,0,0,1,0
581,1,36.0,1,0,0,1,0,0,1,0
582,0,28.0,1,0,0,0,1,0,1,0
583,1,32.0,1,0,0,1,0,0,1,0
584,1,29.0,1,0,0,1,0,0,1,0
585,1,4.0,1,0,0,1,0,0,1,0
586,1,2.0,1,0,0,0,1,0,1,0
587,1,28.335771985478267,1,0,0,1,0,0,1,0
588,1,28.335771985478267,1,0,0,1,0,0,1,0
589,0,36.0,1,0,0,0,1,0,1,0
590,1,33.0,1,0,0,1,0,0,1,0
591,0,29.152074860897248,1,0,0,0,1,0,1,0
594,1,32.0,1,0,0,0,1,0,1,0
595,1,28.335771985478267,1,0,0,1,0,0,1,0
596,1,29.152074860897248,1,0,0,0,1,0,1,0
597,1,26.0,1,0,0,1,0,0,1,0
598,0,28.335771985478267,1,0,0,1,0,0,1,0
599,0,30.0,1,0,0,0,1,0,1,0
600,1,24.0,1,0,0,1,0,0,1,0
604,0,13.0,1,0,0,0,1,0,0,1
605,0,16.0,1,0,0,0,1,0,0,1
606,1,35.0,1,0,0,1,0,0,0,1
607,1,16.0,1,0,0,1,0,0,0,1
608,1,25.0,1,0,0,0,1,0,0,1
609,1,18.0,0,1,0,1,0,0,0,1
610,1,20.0,1,0,0,0,1,0,0,1
611,0,30.0,1,0,0,0,1,0,0,1
612,0,26.0,1,0,0,0,1,0,0,1
613,0,40.0,1,0,0,1,0,0,0,1
615,0,41.0,1,0,0,0,1,0,0,1
616,1,18.0,1,0,0,1,0,0,0,1
617,1,0.8333,1,0,0,0,1,0,0,1
618,0,23.0,1,0,0,0,1,0,0,1
619,0,20.0,1,0,0,0,1,0,0,1
620,0,25.0,1,0,0,0,1,0,0,1
621,0,35.0,1,0,0,0,1,0,0,1
622,0,17.0,1,0,0,0,1,0,0,1
623,0,32.0,1,0,0,0,1,0,0,1
624,0,20.0,1,0,0,0,1,0,0,1
